employee_id,department,timestamp,app_used,task_category,duration_minutes,is_repetitive
E002,Operations,21/10/2025 14:44,outlook,Cal Mgmt,24,no
E014,Marketing,15/10/2025 11:05,gmail,internal comms,29,yes
E003,Operations,2025-10-08 13:46:09,slack,Status Updates,40,TRUE
E013,HR,2025-10-17T13:21:23,Gmail,Internal Communication,1,no
E002,Operations,20/10/2025 13:42,MS Outlook,Email Triage,45,yes
E003,Operations,2025-10-09 14:18:29,EXCEL,REPORTING,5,no
E011,Customer Support,2025-10-06 15:27:57,SLACK,status updates,25,0
E014,Marketing,2025-10-15 15:44:22,EXCEL,REPORTING,24,no
E006,Sales,20/10/2025 13:52,Zoho CRM,Lead-Entry,6,yes
E011,Customer Support,2025-10-08T16:39:26,chrome,Vendor Portals,1,0
E015,Marketing,2025-10-15T09:14:51,Gmail,client communication,28,TRUE
E001,Operations,2025-10-16 15:17,MS Excel,data-entry,25,TRUE
E003,Operations,2025-10-16T17:01:45,Microsoft Excel,REPORTING,38,No
E002,Operations,2025-10-15 10:29,sap,Vendor Mgmt,20,true
E001,Operations,2025-10-22 09:45:28,sap,vendor management,12,false
E005,Finance,2025-10-13 11:36:53,SAP,vendor management,6,Yes
E012,HR,2025-10-23 12:50:32,gmail,email triage,32,Yes
E013,HR,09/10/2025 14:41,Outlook,EMAIL TRIAGE,30,0
E010,Customer Support,2025-10-17 11:46:33,SLACK,Internal Comms,20,0
E006,Sales,2025-10-14 11:43,PowerPoint,REPORTING,24,TRUE
E007,Sales,17/10/2025 13:31,zoom,meetings,40,FALSE
E002,Operations,2025-10-20 12:29,gmail,EMAIL TRIAGE,-3,1
E007,Sales,22/10/2025 12:40,SLACK,status updates,14,TRUE
E003,Operations,2025-10-14 12:24:04,sap,Invoice Proc,15,yes
E007,Sales,2025-10-13 10:57:32,gmail,email triage,43,No
E012,HR,2025-10-15T13:36:40,outlook,EMAIL TRIAGE,38,no
E002,Operations,2025-10-10 12:36:23,chrome,Research,32,No
E008,Sales,14/10/2025 11:17,SFDC,Pipeline Review,20,yes
E001,Operations,2025-10-21 14:02:57,EXCEL,data entry,6,TRUE
E013,HR,2025-10-08 14:27:19,MS Outlook,EMAIL TRIAGE,22,FALSE
E005,Finance,2025-10-10T12:51:47,MS Outlook,Email Triage,39,TRUE
E011,Customer Support,2025-10-23 12:43:59,Zoho CRM,CRM Updates,35,TRUE
